Seasons: 4644 4684 4646 4647 4648 4744
Week	Start	End	Field	Home	Away
10/3/2015	8:45	10:30	Hillview MS Menlo Park	109-U14B-1	44-U14B-1	
10/10/2015	8:45	10:30	Hillview MS Menlo Park	109-U14B-4	109-U14B-1	
10/17/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-1	109-U14G-3	
10/24/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-4	109-U14G-2	
10/31/2015	8:45	10:30	Hillview MS Menlo Park	109-U14B-2	109-U14B-1	
11/7/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-4	109-U14G-5	
11/14/2015	8:45	10:30	Hillview MS Menlo Park	109-U14G-1	25-U14G-1	
9/12/2015	10:30	12:15	Hillview MS Menlo Park	109-U14B-4	109-U14B-5	
9/19/2015	10:30	12:15	Hillview MS Menlo Park	109-U14B-3	26-U14B-5	
9/26/2015	10:30	12:15	Hillview MS Menlo Park	109-U14G-5	45-U14G-2	
10/3/2015	10:30	12:15	Hillview MS Menlo Park	109-U14B-3	45-U14B-8	
10/10/2015	10:30	12:15	Hillview MS Menlo Park	109-U14B-5	45-U14B-7	
10/17/2015	10:30	12:15	Hillview MS Menlo Park	109-U14G-5	109-U14G-2	
10/24/2015	10:30	12:15	Hillview MS Menlo Park	109-U14G-3	109-U14G-5	
10/31/2015	10:30	12:15	Hillview MS Menlo Park	109-U14B-5	109-U14B-3	
11/7/2015	10:30	12:15	Hillview MS Menlo Park	109-U14G-1	45-U14G-2	
11/14/2015	10:30	12:15	Hillview MS Menlo Park	109-U14G-2	45-U14G-2	
9/12/2015	12:15	14:00	Hillview MS Menlo Park	109-U14G-5	45-U14G-6	
9/19/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-1	43-U14B-2	
9/26/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-3	109-U14B-1	
10/3/2015	12:15	14:00	Hillview MS Menlo Park	109-U14G-1	109-U14G-5	
10/10/2015	12:15	14:00	Hillview MS Menlo Park	109-U14G-4	109-U14G-1	
10/17/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-3	45-U14B-7	
10/24/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-1	109-U14B-5	
10/31/2015	12:15	14:00	Hillview MS Menlo Park	109-U14G-4	109-U14G-3	
11/7/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-5	26-U14B-5	
11/14/2015	12:15	14:00	Hillview MS Menlo Park	109-U14B-2	109-U14B-5	
9/12/2015	14:00	15:45	Hillview MS Menlo Park	109-U14G-3	45-U14G-3	
9/19/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-2	43-U14B-1	
9/26/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-4	109-U14B-2	
10/3/2015	14:00	15:45	Hillview MS Menlo Park	109-U14G-3	45-U14G-5	
10/10/2015	14:00	15:45	Hillview MS Menlo Park	109-U14G-3	109-U14G-2	
10/17/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-5	45-U14B-2	
10/24/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-2	45-U14B-6	
10/31/2015	14:00	15:45	Hillview MS Menlo Park	109-U14G-5	45-U14G-4	
11/7/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-1	45-U14B-5	
11/14/2015	14:00	15:45	Hillview MS Menlo Park	109-U14B-4	109-U14B-3	
