Seasons: 4644 4684 4646 4647 4648 4744,,,,,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015,11,11/21/2015,,,,
,,,,,,,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,,,,
Region,WYS Field Name,Field ID,Game Starts,Game Ends,B/G/A,Order,,,,,,,,,,,,,,,,,,,,,,,,,Constraints/Requests,
109,Hillview MS Menlo Park,2541,14:00,15:45,A,3,109-U14G-3,45-U14G-3,109-U14B-2,43-U14B-1,109-U14B-4,109-U14B-2,109-U14G-3,45-U14G-5,109-U14G-3,109-U14G-2,109-U14B-5,45-U14B-2,109-U14B-2,45-U14B-6,109-U14G-5,45-U14G-4,109-U14B-1,45-U14B-5,109-U14B-4,109-U14B-3,,,,,,
,BYE,,BYE,,,,45-U14B-2,45-U14G-2,26-U14B-2,109-U14G-3,45-U14B-1,44-U14G-1,109-U14B-2,109-U14G-2,45-U14B-5,43-U14G-1,45-U14B-3,25-U14G-1,109-U14B-3,45-U14G-1,43-U14B-1,109-U14G-1,26-U14B-3,26-U14G-3,45-U14B-9,45-U14G-3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanity check:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home/Away Counts:,,,,Home,Away,,,,,,,,,,,,,,,,,,,,,,,,Total Game Count:,,Total w/ bye
,26-U14B-2,,,,4,5,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,,9,,10
,26-U14B-3,,,,4,5,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,,9,,10
,26-U14B-4,,,,5,5,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,,10,,10
,26-U14B-5,,,,5,5,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,,10,,10
,43-U14B-1,,,,5,4,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,,10,,11
,43-U14B-2,,,,5,5,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,,11,,11
